,topic,category,content
73,Uber launches robot-assisted food delivery service in 2 US cities,technology,Uber on Monday said it has launched pilot food delivery services with autonomous vehicles in two cities in US' California. It announced one food delivery service using autonomous cars and a separate pilot using sidewalk robots. Both services are available to users in Santa Monica and West Hollywood and can be opted out of.
74,Elon Musk considers visit to Indonesia over possible investments,technology,"Tesla CEO Elon Musk is considering a visit to Indonesia to explore investment opportunities. As per Indonesian President Joko Widodo's office, Musk said to Widodo, ""Hopefully in November...thank you for the invitation,"" after the two met in Texas on Saturday. Indonesia, which has some of the largest nickel deposits, has been in talks with Musk's team over electric vehicles development."
75,Tesla to hold second artificial intelligence day on Aug 19: Musk,technology,"Tesla CEO Elon Musk has announced that the firm will be hosting its second artificial intelligence day on August 19. ""The purpose of AI Day is to convince great AI/software/chip talent to join Tesla,"" he tweeted. The company held its first AI Day in August last year and a Battery Day in September 2020.

"
76,WhatsApp Pay to display user's legal name to avoid UPI frauds,technology,"WhatsApp will now display users' legal name for every transaction they make on WhatsApp Pay to mitigate fraud on UPI payments system. The company said the name associated with a user's bank account, identified using their phone number on WhatsApp, is the name that will be shared. WhatsApp users have the choice to pick any name on the app."
77,Motorists to get traffic e-challans on WhatsApp: Cyberabad Police,technology,"Cyberabad Police have informed that motorists who have violated traffic rules will soon be getting traffic e-challans on their WhatsApp numbers. Taking to Twitter, Cyberabad Police said, ""Motorists violating traffic rules will soon be sent an e-challan with a photo of the violation to their WhatsApp [numbers]."" ""Preparations are underway to bring this policy within a week,"" Cyberabad Police added."
78,Expect more change for better: Twitter CEO after firing 2 top executives,technology,"Twitter CEO Parag Agrawal on Saturday shared a detailed thread about the changes in the company after two top executives were fired a day before. Parag wrote, ""So what can you expect from me going forward? I'm still focused on doing the job, and that includes making hard decisions as needed...And you can expect more change for the better.""
"
79,"What are stablecoins, the product that led to a massive selloff in crypto market?",technology,"Stablecoin is a utility token built upon another coin's blockchain to create a cryptocurrency that's non-volatile, by maintaining its value at $1. However, stablecoin TerraUSD/'UST' collapsed from $1 to as low as 13 cents this week. Terra's token LUNA, meant to stabilise UST prices, fell 100% to a fraction of a cent, causing a massive selloff in crypto market."
80,Won't use Musk's deal to avoid making important decisions: Twitter CEO,technology,"After two top executives were fired on Friday, Twitter CEO Parag Agrawal said he won't use the acquisition deal with Tesla CEO Elon Musk ""as an excuse to avoid making important decisions"" for Twitter. He wrote, ""While I expect the deal to close, we need to be prepared for all scenarios…Our industry is in a very challenging macro environment...right now."""
81,No one at Twitter working just to keep lights on: CEO on changes in company,technology,"Twitter CEO Parag Agrawal in a post remarked that ""no one at Twitter is working just to keep the lights on."" The post which came after two top executives were fired, further read, ""Some have been asking why a ""lame-duck"" CEO would make these changes if we're getting acquired anyway…Regardless of the company's future ownership, we're...improving Twitter as a product."""
82,Vir Das compares his mom's Lajpat Nagar shopping to Elon Musk buying Twitter,technology,"Comedian Vir Das compared his mother's Lajpat Nagar shopping to Elon Musk buying Twitter, and wrote, ""Musk is my mom with rockets."" Das said his mother ""would go into one shop, like something...pretend not to like it too much...and drive the price down"". ""Other shopkeepers...would offer her better deals,"" Das said, adding that ""she'd come back to the same shop""."
83,May have to buy Twitter now: Snoop Dogg after Musk's deal put on hold,technology,"Rapper Snoop Dogg on Friday said that he ""may have to buy Twitter now"". Snoop Dogg’s tweet came after Tesla CEO Elon Musk's takeover bid was temporarily put on hold over fake account data. Snoop Dogg further stated rules for the company which included replacing the board of directors, giving everyone a verified account and putting free internet on planes."
84,How do I edit a typo on Twitter? Oh right: Bezos on his incorrect tweet,technology,"Amazon Founder Jeff Bezos took to Twitter to remark about the absence of an edit button on the platform in an apparent reference. Responding to an earlier tweet wherein he had made an error, Bezos wrote, ""Help me out. How do I edit a typo on Twitter? Oh right..."" Earlier in April, Twitter confirmed it's working on an edit button. "
85,"Started Dell with just $1,000 in 1984, made $101 bn in revenue in 2021: CEO",technology,"Michael Dell, CEO of Dell Technologies, took to LinkedIn to share a memory of how he started the company. He wrote, ""A fun memory from 34 years ago. I started Dell Technologies in 1984 with $1,000 in my...university...dorm room."" He added that by 1987, Dell had posted $159 million in revenue and in 2021 its revenue grew to $101 billion. "
